mention_id,model_id,provider,model_name,release_date,source_url,benchmark_id,benchmark_name,raw_mention,mention_index,mention_prominence,mention_weight
mention_model_openai_gpt_4_2023_03_14_001,model_openai_gpt_4_2023_03_14,OpenAI,GPT-4,2023-03-14,https://openai.com/ko-KR/index/gpt-4/,benchmark_uniform_bar_exam,Uniform Bar Exam,Uniform Bar Exam,1,release_page_unspecified,1.0
mention_model_openai_gpt_4_2023_03_14_002,model_openai_gpt_4_2023_03_14,OpenAI,GPT-4,2023-03-14,https://openai.com/ko-KR/index/gpt-4/,benchmark_biology_olympiad,Biology Olympiad,Biology Olympiad,2,release_page_unspecified,1.0
mention_model_anthropic_claude_2_2023_07_11_001,model_anthropic_claude_2_2023_07_11,Anthropic,Claude 2,2023-07-11,https://www.anthropic.com/news/claude-2,benchmark_uniform_bar_exam,Uniform Bar Exam,Uniform Bar Exam,1,release_page_unspecified,1.0
mention_model_anthropic_claude_2_2023_07_11_002,model_anthropic_claude_2_2023_07_11,Anthropic,Claude 2,2023-07-11,https://www.anthropic.com/news/claude-2,benchmark_gre,GRE,GRE,2,release_page_unspecified,1.0
mention_model_anthropic_claude_2_2023_07_11_003,model_anthropic_claude_2_2023_07_11,Anthropic,Claude 2,2023-07-11,https://www.anthropic.com/news/claude-2,benchmark_humaneval,HumanEval,HumanEval,3,release_page_unspecified,1.0
mention_model_anthropic_claude_2_2023_07_11_004,model_anthropic_claude_2_2023_07_11,Anthropic,Claude 2,2023-07-11,https://www.anthropic.com/news/claude-2,benchmark_gsm8k,GSM8K,GSM8K,4,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_001,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,MMLU / MMLU-Pro,1,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_002,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_big_bench_hard,Big-Bench Hard,Big-Bench Hard,2,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_003,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_drop,DROP,DROP,3,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_004,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_hellaswag,HellaSwag,HellaSwag,4,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_005,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_gsm8k,GSM8K,GSM8K,5,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_006,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_math,MATH,MATH,6,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_007,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_humaneval,HumanEval,HumanEval,7,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_008,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_natural2code,Natural2Code,Natural2Code,8,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_009,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,MMMU / MMMU Pro,9,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_010,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_vqav2,VQAv2,VQAv2,10,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_011,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_textvqa,TextVQA,TextVQA,11,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_012,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_docvqa,DocVQA,DocVQA,12,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_013,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_infographic_vqa,Infographic VQA,Infographic VQA,13,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_014,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_mathvista,MathVista,MathVista,14,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_015,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_vatex,VATEX,VATEX,15,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_016,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_mcqa,MCQA,MCQA,16,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_017,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_covost_2,CoVoST 2,CoVoST 2,17,release_page_unspecified,1.0
mention_model_google_gemini_1_0_2023_12_06_018,model_google_gemini_1_0_2023_12_06,Google,gemini 1.0,2023-12-06,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,benchmark_fleurs,FLEURS,FLEURS,18,release_page_unspecified,1.0
mention_model_google_gemini_1_5_2024_02_15_001,model_google_gemini_1_5_2024_02_15,Google,Gemini 1.5,2024-02-15,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024,benchmark_needle_in_a_haystack,Needle In A Haystack,Needle In A Haystack,1,release_page_unspecified,1.0
mention_model_google_gemini_1_5_2024_02_15_002,model_google_gemini_1_5_2024_02_15,Google,Gemini 1.5,2024-02-15,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024,benchmark_mtob_benchmark,MTOB benchmark,MTOB benchmark,2,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_001,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,MMLU / MMLU-Pro,1,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_002,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_gpqa,GPQA,GPQA,2,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_003,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_gsm8k,GSM8K,GSM8K,3,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_004,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_math,MATH,MATH,4,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_005,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_mgsm,MGSM,MGSM,5,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_006,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_humaneval,HumanEval,HumanEval,6,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_007,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_drop,DROP,DROP,7,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_008,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_big_bench_hard,Big-Bench Hard,Big-Bench Hard,8,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_009,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_arc_agi,ARC-AGI,ARC-AGI,9,release_page_unspecified,1.0
mention_model_anthropic_claude_3_2024_03_04_010,model_anthropic_claude_3_2024_03_04,Anthropic,Claude 3,2024-03-04,https://www.anthropic.com/news/claude-3-family,benchmark_hellaswag,HellaSwag,HellaSwag,10,release_page_unspecified,1.0
