provider,model_name,release_date,release_year,raw_mention,benchmark_id,benchmark_name,match_source,match_type,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,benchmark_review_status
OpenAI,GPT-4,2023-03-14,2023,Uniform Bar Exam,benchmark_uniform_bar_exam,Uniform Bar Exam,canonical,exact,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance),legacy_seed
OpenAI,GPT-4,2023-03-14,2023,Biology Olympiad,benchmark_biology_olympiad,Biology Olympiad,canonical,exact,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance),legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,MGSM,benchmark_mgsm,MGSM,canonical,exact,"Google, Academia",Google,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,DROP,benchmark_drop,DROP,canonical,exact,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,M3Exam,benchmark_m3exam,M3Exam,canonical,exact,"Academia, Others(Alibaba etc)",none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,AI2D,benchmark_ai2d,AI2D,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,ChartQA,benchmark_chartqa,ChartQA,canonical,exact,Academia,none,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,DocVQA,benchmark_docvqa,DocVQA,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,ActivityNet,benchmark_activitynet,ActivityNet,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4o,2024-05-13,2024,EgoSchema,benchmark_egoschema,EgoSchema,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,o1,2024-09-12,2024,IMO,benchmark_imo,IMO,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1,2024-09-12,2024,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1,2024-09-12,2024,Codeforces,benchmark_codeforces,Codeforces,canonical,exact,Others(Codeforces platform),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o1,2024-09-12,2024,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1,2024-09-12,2024,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1,2024-09-12,2024,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,o1,2024-09-12,2024,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,o1,2024-09-12,2024,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,Codeforces,benchmark_codeforces,Codeforces,canonical,exact,Others(Codeforces platform),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,Cybersecurity CTFs,benchmark_cybersecurity_ctfs,Cybersecurity CTFs,canonical,exact,Academia,none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o1-mini,2024-09-12,2024,Jailbreak Eval,benchmark_jailbreak_eval,Jailbreak Eval,canonical,exact,Academia,none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,FrontierMath,benchmark_frontiermath,FrontierMath,canonical,exact,"Others(Epoch AI, backed by Google)",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,Codeforces,benchmark_codeforces,Codeforces,canonical,exact,Others(Codeforces platform),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,SWE-bench verified,benchmark_swe_bench_verified,SWE-bench verified,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,LiveBench Coding,benchmark_livebench_coding,LiveBench Coding,canonical,exact,"Academia, Others(Nvidia etc)",none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,MGSM,benchmark_mgsm,MGSM,canonical,exact,"Google, Academia",Google,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,SimpleQA,benchmark_simpleqa,SimpleQA,canonical,exact,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense,legacy_seed
OpenAI,o3-mini,2025-01-31,2025,STEM,benchmark_stem,STEM,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4.5,2025-02-27,2025,SimpleQA,benchmark_simpleqa,SimpleQA,canonical,exact,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense,legacy_seed
OpenAI,GPT-4.5,2025-02-27,2025,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4.5,2025-02-27,2025,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4.5,2025-02-27,2025,MMMLU,benchmark_mmmlu,MMMLU,canonical,exact,OpenAI,OpenAI,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-4.5,2025-02-27,2025,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4.5,2025-02-27,2025,SWE-bench,benchmark_swe_bench,SWE-bench,canonical,exact,Academia,none,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,SWE-bench verified,benchmark_swe_bench_verified,SWE-bench verified,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,MultiChallenge,benchmark_multichallenge,MultiChallenge,canonical,exact,Others(Scale AI),none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,Video-MME,benchmark_video_mme,Video-MME,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
